averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,numBoids,leafCapacityOrCellSize,searchAlgo
12.20398,18.89724,561751.2,749,750,0,BF
7.799441,1.37249064,12435.5938,12.4355955,1000,4,UNIFORMGRID
16.1209316,2.74239564,35071.5469,35.0715523,1000,8,UNIFORMGRID
17.04756,4.67415047,84358.81,84.35878,1000,16,UNIFORMGRID
16.12081,6.45382071,134340.25,134.340271,1000,24,UNIFORMGRID
16.343914,10.4044142,247193.75,247.19371,1000,40,UNIFORMGRID
15.7906981,27.2827435,711310.2,711.3102,1000,80,UNIFORMGRID
17.85593,34.20959,907660.938,907.661133,1000,120,UNIFORMGRID
17.67239,37.7539635,999000.8,999,1000,240,UNIFORMGRID
15.4747963,37.23519,999001.063,999,1000,480,UNIFORMGRID
19.571661,37.392765,999000.75,999,1000,800,UNIFORMGRID
19.4143543,37.3211136,999000.8,999,1000,1600,UNIFORMGRID
18.9079514,31.786314,24943.8789,24.9438782,1000,1,QUADTREE
17.8300476,22.96539,25560.0918,25.5600929,1000,2,QUADTREE
18.5652428,17.1246777,29261.6152,29.26162,1000,4,QUADTREE
15.4195967,11.6286459,28318.1758,28.3181725,1000,8,QUADTREE
15.1996546,9.270164,34773.7031,34.7737122,1000,16,QUADTREE
14.80383,7.68445873,42972.3672,42.97238,1000,32,QUADTREE
15.197382,7.35330343,63127.7852,63.12776,1000,64,QUADTREE
14.721591,8.16835,107466.281,107.4663,1000,128,QUADTREE
19.3228664,13.6150532,246821.75,246.8218,1000,256,QUADTREE
16.0898876,15.4559822,314096.9,314.096863,1000,512,QUADTREE
18.16538,41.8715363,982619.25,982.619,1000,1024,QUADTREE
18.2836533,33.3010864,999001.4,999,1000,0,BF
14.8573055,2.94072938,24962.6387,16.641758,1500,4,UNIFORMGRID
19.61808,4.947722,67955.6953,45.3038,1500,8,UNIFORMGRID
23.1892,11.3008652,230918.266,153.94548,1500,16,UNIFORMGRID
25.2303352,17.6721458,407986.656,271.99115,1500,24,UNIFORMGRID
24.7656212,38.1284981,969313.563,646.209167,1500,40,UNIFORMGRID
29.2955742,75.15747,2000309.63,1333.54028,1500,80,UNIFORMGRID
26.8327732,77.96005,2074401.75,1382.93494,1500,120,UNIFORMGRID
22.512804,83.3873,2248497.5,1499,1500,240,UNIFORMGRID
27.67292,83.41699,2248497.75,1499,1500,480,UNIFORMGRID
22.6065273,84.3868561,2248497.75,1499,1500,800,UNIFORMGRID
20.54403,83.39126,2248497.5,1499,1500,1600,UNIFORMGRID
28.0115776,63.7117424,54474.3359,36.316227,1500,1,QUADTREE
31.7253132,51.6824837,65309.5859,43.5397148,1500,2,QUADTREE
28.96922,35.3664322,67788.4844,45.192318,1500,4,QUADTREE
28.5340271,27.1795788,77089.2344,51.3928146,1500,8,QUADTREE
27.5945759,20.8947945,92644.19,61.76279,1500,16,QUADTREE
31.8127232,19.5552387,128781.367,85.85424,1500,32,QUADTREE
30.3224182,18.3983479,174519.609,116.346413,1500,64,QUADTREE
27.9283829,18.0556679,215356.5,143.571045,1500,128,QUADTREE
28.097271,23.3544712,391093.7,260.7292,1500,256,QUADTREE
28.8655758,32.1255875,648893.25,432.5956,1500,512,QUADTREE
29.3237953,37.4702034,794696.063,529.7975,1500,1024,QUADTREE
23.9887981,74.71956,2248497.5,1499,1500,0,BF
20.7236824,7.87912226,67238.07,22.4126854,3000,4,UNIFORMGRID
48.1936378,22.6348743,377871.1,125.957016,3000,8,UNIFORMGRID
44.20736,48.8986473,1082128.38,360.709442,3000,16,UNIFORMGRID
43.5581322,77.319725,1902100.5,634.0337,3000,24,UNIFORMGRID
43.4774475,134.8479,3501023.5,1167.008,3000,40,UNIFORMGRID
23.8623333,225.062729,6092631,2030.87708,3000,80,UNIFORMGRID
17.7506447,295.929474,7903325,2634.442,3000,120,UNIFORMGRID
17.065258,328.165344,8996996,2999,3000,240,UNIFORMGRID
17.2187138,331.0542,8996996,2999,3000,480,UNIFORMGRID
16.92429,325.6083,8996996,2999,3000,800,UNIFORMGRID
17.6670227,328.269135,8996996,2999,3000,1600,UNIFORMGRID
33.931057,157.51741,134477.688,44.82589,3000,1,QUADTREE
36.13478,118.412056,150281.891,50.093956,3000,2,QUADTREE
38.3883629,88.4192047,173749.438,57.91648,3000,4,QUADTREE
44.48349,70.24839,225268.938,75.0896454,3000,8,QUADTREE
44.8470726,57.0838547,267535,89.17835,3000,16,QUADTREE
43.9681053,47.7652626,333980.5,111.32682,3000,32,QUADTREE
44.1032562,46.464016,435134.8,145.044983,3000,64,QUADTREE
45.18137,48.8885956,625904.1,208.634735,3000,128,QUADTREE
46.6905251,57.8214226,897630.5,299.2102,3000,256,QUADTREE
43.3299675,73.0477448,1378032.38,459.344055,3000,512,QUADTREE
37.03223,117.869553,2579772,859.92395,3000,1024,QUADTREE
19.1529655,295.092224,8996996,2999,3000,0,BF
