averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
3.18988252,36.6735535,998999.938,999,350,500,UNIFORMGRID
3.16937757,36.6553955,998999.938,999,350,1000,UNIFORMGRID
2.97705054,11.5398693,4946.957,4.946958,350,1,QUADTREE
2.9004755,9.682677,5491.64941,5.49164867,350,2,QUADTREE
2.83915782,7.58419657,6650.46045,6.650458,350,4,QUADTREE
2.82841825,6.23490334,9270.176,9.270177,350,8,QUADTREE
3.03277087,5.40667343,14960.38,14.96038,350,16,QUADTREE
2.92133379,4.911595,22899.9824,22.89997,350,32,QUADTREE
2.93242979,5.1788516,45324.3164,45.3243065,350,64,QUADTREE
2.93179321,5.81045628,74085.25,74.08526,350,128,QUADTREE
3.04227757,10.6281891,210780.922,210.781036,350,256,QUADTREE
2.94339418,12.3317966,260001.109,260.00116,350,512,QUADTREE
3.05292845,40.2165146,976786.9,976.7869,350,1024,QUADTREE
0.496444345,0.6495109,3861.24731,3.86124754,400,2,UNIFORMGRID
2.75714159,1.0745604,8899.395,8.899395,400,5,UNIFORMGRID
2.6425333,1.24646521,13144.4092,13.1444092,400,10,UNIFORMGRID
2.67875934,1.4934988,19034.6777,19.03468,400,15,UNIFORMGRID
2.50406575,2.14778686,37280.2227,37.2802238,400,25,UNIFORMGRID
2.52700043,5.238585,123718.375,123.718445,400,50,UNIFORMGRID
2.517663,9.542644,243429.422,243.429489,400,75,UNIFORMGRID
2.57399273,25.7994652,693572.5,693.572449,400,150,UNIFORMGRID
2.66250372,36.6987419,998999.938,999,400,300,UNIFORMGRID
2.70248842,39.70275,1085288.25,1085.289,400,500,UNIFORMGRID
2.62150717,36.5743828,999000,999,400,1000,UNIFORMGRID
2.65091634,10.9317074,4377.205,4.377204,400,1,QUADTREE
2.60918927,9.252872,4961.45654,4.961455,400,2,QUADTREE
2.47319365,7.168131,5880.02539,5.88002825,400,4,QUADTREE
2.49208784,5.942081,8497.958,8.497956,400,8,QUADTREE
2.58645964,5.197993,14164.1016,14.1641073,400,16,QUADTREE
2.55379367,4.798579,22505.1563,22.5051537,400,32,QUADTREE
2.55958414,5.09879637,46721.88,46.7218781,400,64,QUADTREE
2.53190613,5.73721075,72951.41,72.95144,400,128,QUADTREE
2.54788828,9.823429,189194.391,189.1944,400,256,QUADTREE
2.59586668,12.2094612,256813.6,256.813721,400,512,QUADTREE
2.71129918,40.33646,983096.563,983.0964,400,1024,QUADTREE
0.568748,0.6431043,3442.97339,3.44297338,450,2,UNIFORMGRID
2.493802,1.03759563,8072.221,8.072219,450,5,UNIFORMGRID
2.53648353,1.22635376,12473.9395,12.4739389,450,10,UNIFORMGRID
2.29445386,1.36706567,16016.1631,16.0161686,450,15,UNIFORMGRID
2.30298257,1.90940046,30755.2324,30.7552223,450,25,UNIFORMGRID
2.2235527,4.34656334,99169.17,99.1692352,450,50,UNIFORMGRID
2.23679829,7.92594433,198791.734,198.791748,450,75,UNIFORMGRID
2.392197,23.042963,622701.8,622.7016,450,150,UNIFORMGRID
2.391409,36.5074043,999000.063,999,450,300,UNIFORMGRID
2.439157,44.2447052,1215296.88,1215.29663,450,500,UNIFORMGRID
2.3094306,36.3628273,999000.063,999,450,1000,UNIFORMGRID
2.318097,10.3070517,3863.23486,3.863235,450,1,QUADTREE
2.178697,8.624105,4202.383,4.20238066,450,2,QUADTREE
